WKT,ID
"MULTIPOLYGON (((-1.09730751 50.79475108,-1.09730254 50.79475231,-1.09729249 50.79473554,-1.09729752 50.79473434,-1.09730751 50.79475108)))",BLD-IDTNC
"MULTIPOLYGON (((-1.09830231 50.79458505,-1.09830679 50.79458403,-1.09829678 50.79456723,-1.09829233 50.79456830,-1.09830231 50.79458505)))",BLD-IDTNC
"MULTIPOLYGON (((-1.09829363 50.79452725,-1.09835816 50.79451129,-1.09831641 50.79444222,-1.09834869 50.79443422,-1.09827863 50.79431811,-1.09818029 50.79434223,-1.09823528 50.79443394,-1.09829363 50.79452725)))",BLD-TNACD
"MULTIPOLYGON (((-1.09738951 50.79488852,-1.09721581 50.79459737,-1.09721829 50.79459395,-1.09816650 50.79436685,-1.09817112 50.79436806,-1.09821447 50.79443958,-1.09823174 50.79443538,-1.09823329 50.79443441,-1.09823528 50.79443394,-1.09829363 50.79452725,-1.09829310 50.79452738,-1.09829151 50.79452706,-1.09828675 50.79452759,-1.09827434 50.79453079,-1.09827134 50.79453306,-1.09834592 50.79465825,-1.09834339 50.79466185,-1.09739367 50.79488963,-1.09738951 50.79488852)))",BLD-IDTNC
"MULTIPOLYGON (((-1.10035003 50.79483581,-1.10049751 50.79492369,-1.10069316 50.79479093,-1.10028268 50.79454707,-1.10008645 50.79467874,-1.10030966 50.79481175,-1.10028991 50.79482517,-1.10033027 50.79484913,-1.10035003 50.79483581)))",BLD-T0032
"MULTIPOLYGON (((-1.09843145 50.79525600,-1.09843566 50.79531235,-1.09846992 50.79531116,-1.09846583 50.79525484,-1.09843145 50.79525600,-1.09843145 50.79525600)))",BLD-US307
"MULTIPOLYGON (((-1.09799230 50.79494198,-1.09795061 50.79494395,-1.09791636 50.79492725,-1.09791403 50.79490062,-1.09794133 50.79488048,-1.09798346 50.79487777,-1.09801607 50.79489474,-1.09801929 50.79492144,-1.09799230 50.79494198,-1.09799230 50.79494198)))",BLD-US311
"MULTIPOLYGON (((-1.09781839 50.79532012,-1.09772774 50.79531299,-1.09773219 50.79529165,-1.09782264 50.79529874,-1.09781839 50.79532012,-1.09781839 50.79532012)))",BLD-US312
"MULTIPOLYGON (((-1.09846812 50.79572441,-1.09846226 50.79566986,-1.09846553 50.79566972,-1.09845722 50.79559031,-1.09845415 50.79559044,-1.09844838 50.79553570,-1.09845167 50.79553556,-1.09844314 50.79545626,-1.09844026 50.79545638,-1.09843479 50.79540146,-1.09852617 50.79539714,-1.09852632 50.79539836,-1.09852942 50.79539821,-1.09856305 50.79572043,-1.09846812 50.79572441,-1.09846812 50.79572441)))",BLD-US306
"MULTIPOLYGON (((-1.09641130 50.79694487,-1.09634937 50.79695995,-1.09636877 50.79699177,-1.09643085 50.79697679,-1.09641130 50.79694487,-1.09641130 50.79694487)))",BLD-US309
"MULTIPOLYGON (((-1.09657155 50.79691133,-1.09644964 50.79693670,-1.09646865 50.79697609,-1.09659052 50.79695018,-1.09657155 50.79691133,-1.09657155 50.79691133)))",BLD-US310
"MULTIPOLYGON (((-1.09711351 50.79673638,-1.09687043 50.79678815,-1.09691266 50.79686791,-1.09715555 50.79681623,-1.09711351 50.79673638,-1.09711351 50.79673638)))",BLD-US301
